leafID,date,treatment,replicate,species_code,species_full,deciduousness,gcw_ad_mmol_m2s,gmin_mmol_m2s,prop_cuticle_ad,wet_mass_g,dry_mass_g,leaf_area_cm2,lma_g_m2,ldmc_mg_g,mean_gsw_mol_m2s,stomatal_distribution,L_cm
170,6/17/2022,30,5,clke,Cladrastis kentuckea,D,5.752141158,7.623342151,0.754543223,6.965,1.9017,471.15596,40.36243116,273.0366116,0.052453875,hypostomatic,15.19428907
171,6/20/2022,40,1,umca,Umbellularia californica,E,1.58694212,1.817100707,0.873337462,0.839,0.448,28.17457901,159.0085871,533.9690107,0.092133335,hypostomatic,3.715581208
172,6/20/2022,40,2,umca,Umbellularia californica,E,1.068568449,1.575739954,0.678137561,0.743,0.3999,25.91621072,154.3049655,538.2234186,0.071859082,hypostomatic,3.563557668
173,6/20/2022,40,3,umca,Umbellularia californica,E,1.364208677,1.842713576,0.740325949,0.871,0.4636,28.29259369,163.8591375,532.2617681,0.02955143,hypostomatic,3.723354792
174,6/20/2022,40,4,umca,Umbellularia californica,E,0.995689465,1.70448967,0.584156937,0.685,0.3583,25.80522148,138.8478685,523.0656934,0.090051819,hypostomatic,3.555918802
175,6/20/2022,40,5,umca,Umbellularia californica,E,1.245490052,1.916281632,0.649951464,0.59,0.3086,23.5149272,131.235788,523.0508475,0.07182967,hypostomatic,3.394453465
176,6/20/2022,40,1,maac,Magnolia acuminata,D,3.226692233,3.34304793,0.965194727,5.039,1.355,284.0706443,47.6994025,268.90256,0.081373859,hypostomatic,11.79807678
177,6/20/2022,40,2,maac,Magnolia acuminata,D,3.785900441,4.597748219,0.823424916,6.777,1.8141,363.2851604,49.93597861,267.6848163,0.108814244,hypostomatic,13.34202865
178,6/20/2022,40,3,maac,Magnolia acuminata,D,5.154929472,4.490958476,1.147846167,3.164,0.833,191.0160463,43.60890176,263.2743363,0.129477348,hypostomatic,9.674598839
179,6/20/2022,40,4,maac,Magnolia acuminata,D,4.797352394,4.770560898,1.005616005,5.018,1.3421,259.170292,51.78448461,267.4571542,0.124274006,hypostomatic,11.26913675
180,6/20/2022,40,5,maac,Magnolia acuminata,D,4.842525219,4.589321735,1.055172311,4.446,1.2026,251.6136417,47.79550074,270.4903284,0.115571205,hypostomatic,11.10363384
181,6/20/2022,40,1,clke,Cladrastis kentuckea,D,4.541035554,4.142039722,1.096328345,4.157,1.1089,424.1368158,26.14486549,266.7548713,0.05632348,hypostomatic,14.41620754
182,6/20/2022,40,2,clke,Cladrastis kentuckea,D,5.820312021,5.641430538,1.031708532,9.218,3.1106,625.2020101,49.75351886,337.4484704,0.048204445,hypostomatic,17.50282791
183,6/20/2022,40,3,clke,Cladrastis kentuckea,D,5.543096149,4.463312346,1.24192432,7.586,2.3451,685.3100511,34.21954773,309.1352491,0.027818129,hypostomatic,18.32489905
184,6/20/2022,40,4,clke,Cladrastis kentuckea,D,6.701653459,3.873401239,1.730172798,5.107,1.5129,626.5259556,24.14744332,296.2404543,0.033680334,hypostomatic,17.52135035
185,6/20/2022,40,5,clke,Cladrastis kentuckea,D,4.251111391,3.636139228,1.169127782,2.777,0.7828,267.5420489,29.25895212,281.8869283,0.04813638,hypostomatic,11.44969886
186,6/21/2022,50,1,umca,Umbellularia californica,E,1.506266588,2.598218576,0.579730513,0.671,0.3854,25.67978787,150.0791214,574.366617,0.056244421,hypostomatic,3.547265997
187,6/21/2022,50,2,umca,Umbellularia californica,E,1.44986786,2.67894478,0.541208565,0.663,0.3714,24.67178985,150.5363017,560.1809955,0.039327909,hypostomatic,3.476949385
188,6/21/2022,50,3,umca,Umbellularia californica,E,1.320935729,2.679385861,0.49299944,0.692,0.3694,25.9766,142.2049075,533.8150289,0.088697163,hypostomatic,3.567707107
189,6/21/2022,50,4,umca,Umbellularia californica,E,1.477946514,2.617348847,0.56467311,0.716,0.3806,27.64879617,137.6551795,531.5642458,0.055007057,hypostomatic,3.680748582
190,6/21/2022,50,5,umca,Umbellularia californica,E,1.176211583,2.661084847,0.44200454,0.615,0.3296,25.2754071,130.4034387,535.9349593,0.080777119,hypostomatic,3.519225693
191,6/21/2022,50,1,maac,Magnolia acuminata,D,8.033333444,6.815698858,1.178651465,5.689,1.9535,252.4201757,77.39080265,343.3819652,0.239918899,hypostomatic,11.12141565
192,6/21/2022,50,2,maac,Magnolia acuminata,D,9.189997756,5.311345509,1.730257943,3.719,1.4445,203.9649072,70.82100642,388.4108631,0.038108246,hypostomatic,9.997139817
193,6/21/2022,50,3,maac,Magnolia acuminata,D,7.227157502,5.455162372,1.324829035,4.843,1.4433,231.6199517,62.31328472,298.0177576,0.483631918,hypostomatic,10.65334578
194,6/21/2022,50,4,maac,Magnolia acuminata,D,7.937308172,6.836442775,1.161028979,3.11,0.9001,171.4935107,52.48595102,289.4212219,0.174115066,hypostomatic,9.166887162
195,6/21/2022,50,5,maac,Magnolia acuminata,D,6.940564492,6.773870354,1.024608404,4.904,1.2869,262.777999,48.97289746,262.4184339,0.152129626,hypostomatic,11.3473001
196,6/21/2022,50,1,clke,Cladrastis kentuckea,D,9.013406075,9.215714027,0.978047501,4.351,1.386,329.2637129,42.09391882,318.5474604,0.093012354,hypostomatic,12.70193762
197,6/21/2022,50,2,clke,Cladrastis kentuckea,D,8.129955638,8.493646884,0.95718079,7.18,2.6754,546.1574691,48.98587223,372.6183844,0.108124155,hypostomatic,16.35900852
198,6/21/2022,50,3,clke,Cladrastis kentuckea,D,12.13194951,7.140306498,1.699079656,6.608,2.0372,626.8874743,32.49706021,308.2929782,0.125749086,hypostomatic,17.52640472
199,6/21/2022,50,4,clke,Cladrastis kentuckea,D,6.592742177,7.302576447,0.902796735,6.17,2.4116,524.1952871,46.00575509,390.8589951,0.071287371,hypostomatic,16.02671803
200,6/21/2022,50,5,clke,Cladrastis kentuckea,D,6.678828314,7.051702956,0.947122753,4.683,1.6087,398.4079524,40.37821008,343.5191117,0.246200409,hypostomatic,13.97211139
201,6/22/2022,20,1,acci,Acer circinatum,D,2.146644529,6.709207389,0.319955012,0.823,0.2869,63.56,45.13845186,348.6026731,0.047236009,hypostomatic,5.5807168
202,6/22/2022,20,2,acci,Acer circinatum,D,3.347080063,5.279975285,0.633919646,0.872,0.3115,70.97238017,43.89031328,357.2247706,0.094020828,hypostomatic,5.897157475
203,6/22/2022,20,3,acci,Acer circinatum,D,1.963394321,4.302842677,0.456301675,0.571,0.1895,52.0141702,36.43237973,331.8739054,0.041000228,hypostomatic,5.048459507
204,6/22/2022,20,4,acci,Acer circinatum,D,2.167543172,5.528790658,0.392046526,0.464,0.1506,43.21164205,34.85171885,324.5689655,0.07855912,hypostomatic,4.60148939
205,6/22/2022,20,5,acci,Acer circinatum,D,2.615400902,4.75386271,0.550163322,0.552,0.2043,46.20009156,44.22069159,370.1086957,0.085410259,hypostomatic,4.757945446
206,6/22/2022,20,1,alru,Alnus rubrum,D,1.808064063,9.607848249,0.188186159,1.363,0.6123,46.27945463,132.3049299,449.2296405,0.029107485,hypostomatic,4.76203032
207,6/22/2022,20,2,alru,Alnus rubrum,D,1.461406711,8.79651201,0.166134794,1.447,0.655,48.1958015,135.9039542,452.6606773,0.154873219,hypostomatic,4.859623724
208,6/22/2022,20,3,alru,Alnus rubrum,D,2.456099862,10.82855986,0.226816852,1.53,0.6782,51.1435624,132.6071099,443.2679739,0.135309717,hypostomatic,5.00603092
209,6/22/2022,20,4,alru,Alnus rubrum,D,1.416689628,10.32415149,0.137220926,1.337,0.5945,44.67786968,133.0636407,444.6522064,0.070627069,hypostomatic,4.678905443
210,6/22/2022,20,5,alru,Alnus rubrum,D,2.64364857,9.082009961,0.291086288,1.414,0.6004,51.95976503,115.5509459,424.6110325,0.027651303,hypostomatic,5.045818552
216,6/23/2022,40,1,acci,Acer circinatum,D,2.267461533,3.160119025,0.717524092,0.673,0.2227,57.81125411,38.52191125,330.9063893,0.078445918,hypostomatic,5.322359863
217,6/23/2022,40,2,acci,Acer circinatum,D,2.221303062,3.052525757,0.727693471,1.035,0.3738,75.13046507,49.75345217,361.1594203,0.052860729,hypostomatic,6.067448219
218,6/23/2022,40,3,acci,Acer circinatum,D,2.587283277,2.821845946,0.916876161,0.662,0.2334,59.10843459,39.48675034,352.5679758,0.032163153,hypostomatic,5.381740699
219,6/23/2022,40,4,acci,Acer circinatum,D,2.238221548,3.382603049,0.661686138,0.59,0.2065,50.26898546,41.07900689,350,0.049421485,hypostomatic,4.963043711
220,6/23/2022,40,5,acci,Acer circinatum,D,1.930161397,3.515692719,0.549013111,0.503,0.1741,44.26419673,39.33201388,346.1232604,0.057630704,hypostomatic,4.657194048
221,6/23/2022,40,1,alru,Alnus rubrum,D,1.805439374,7.237466084,0.249457387,1.751,0.7226,56.93619173,126.9140028,412.6784694,0.030753028,hypostomatic,5.281925212
222,6/23/2022,40,2,alru,Alnus rubrum,D,1.034434348,5.572948913,0.185617052,1.208,0.5257,42.67906826,123.1751351,435.1821192,0.030110049,hypostomatic,4.573045314
223,6/23/2022,40,3,alru,Alnus rubrum,D,2.921865977,7.825414732,0.373381613,1.399,0.5755,44.12444167,130.4265795,411.3652609,0.031776395,hypostomatic,4.649836171
224,6/23/2022,40,4,alru,Alnus rubrum,D,1.609316598,6.056048778,0.26573706,1.023,0.424,40.69866939,104.1803102,414.4672532,0.021811472,hypostomatic,4.465685614
225,6/23/2022,40,5,alru,Alnus rubrum,D,1.149851378,5.630244574,0.204227607,1.461,0.6487,50.70101901,127.9461464,444.0109514,0.027499859,hypostomatic,4.984325362
231,6/24/2022,30,1,acci,Acer circinatum,D,1.434569276,3.371473753,0.425502134,0.676,0.2679,54.62153313,49.04659109,396.3017751,0.031151848,hypostomatic,5.173446746
232,6/24/2022,30,2,acci,Acer circinatum,D,3.152219937,3.753992063,0.839698083,0.784,0.2865,59.11373009,48.46589778,365.4336735,0.086456353,hypostomatic,5.381981767
233,6/23/2022,30,3,acci,Acer circinatum,D,1.042940657,3.370810948,0.309403486,0.564,0.2094,46.50296065,45.02939105,371.2765957,0.046960165,hypostomatic,4.773515551
234,6/24/2022,30,4,acci,Acer circinatum,D,0.902058977,3.489156592,0.258532099,0.98,0.3994,66.57334758,59.99397875,407.5510204,0.037761394,hypostomatic,5.711474443
235,6/24/2022,30,5,acci,Acer circinatum,D,1.217737267,2.775361048,0.438767153,0.624,0.2313,49.53357723,46.69559781,370.6730769,0.052600524,hypostomatic,4.926606626
236,6/23/2022,30,1,alru,Alnus rubrum,D,0.53464211,6.064081728,0.088165387,1.873,0.8064,60.38599261,133.5409033,430.5392419,0.155578663,hypostomatic,5.439589725
237,6/24/2022,30,2,alru,Alnus rubrum,D,1.263688002,8.281007793,0.15260075,1.804,0.6689,57.64682067,116.0341528,370.7871397,0.120343997,hypostomatic,5.314785238
238,6/24/2022,30,3,alru,Alnus rubrum,D,1.028092317,7.75556635,0.132561862,1.053,0.3872,39.25175978,98.64525875,367.711301,0.090001479,hypostomatic,4.385585741
239,6/23/2022,30,4,alru,Alnus rubrum,D,0.701766305,6.523052715,0.107582498,1.239,0.5341,45.04066667,118.5817261,431.0734463,0.081839595,hypostomatic,4.697864054
240,6/24/2022,30,5,alru,Alnus rubrum,D,0.622651548,6.367743379,0.097782136,1.438,0.6091,48.75266977,124.9367476,423.5744089,0.148835992,hypostomatic,4.887617844
246,6/27/2022,50,1,acci,Acer circinatum,D,7.013864346,4.155821301,1.68772039,0.598,0.213,51.7648561,41.14760787,356.187291,0.085650664,hypostomatic,5.036345847
247,6/27/2022,50,2,acci,Acer circinatum,D,4.608579591,5.099276499,0.903771269,0.567,0.1938,48.37330645,40.06341807,341.7989418,0.10612499,hypostomatic,4.868564487
248,6/27/2022,50,3,acci,Acer circinatum,D,6.487993483,5.514652255,1.176500926,0.899,0.3158,71.10275972,44.41459111,351.2791991,0.084045752,hypostomatic,5.902571665
249,6/27/2022,50,4,acci,Acer circinatum,D,4.944397337,5.587906225,0.884838996,0.699,0.2371,59.75261809,39.68026968,339.1988555,0.090253948,hypostomatic,5.410987236
250,6/27/2022,50,5,acci,Acer circinatum,D,5.696314426,5.303796576,1.074006958,0.921,0.3131,76.07949816,41.15431983,339.9565689,0.097464952,hypostomatic,6.105649359
251,6/27/2022,50,1,alru,Alnus rubrum,D,2.207850769,8.226337687,0.268388055,1.331,0.6224,56.83234029,109.51511,467.6183321,0.030397242,hypostomatic,5.277105906
252,6/27/2022,50,2,alru,Alnus rubrum,D,2.036005273,8.188033302,0.248656203,1.473,0.6628,63.29998465,104.7077663,449.9660557,0.084009445,hypostomatic,5.569290123
253,6/27/2022,50,3,alru,Alnus rubrum,D,6.036963878,6.287324565,0.960180092,1.266,0.6393,55.36717171,115.4655331,504.9763033,0.064826835,hypostomatic,5.208638415
254,6/27/2022,50,4,alru,Alnus rubrum,D,1.173980364,7.336914493,0.160010092,1.14,0.5841,56.41497467,103.53634,512.3684211,0.077155576,hypostomatic,5.257693181
255,6/27/2022,50,5,alru,Alnus rubrum,D,1.930949597,6.135515544,0.314716764,1.283,0.6025,66.46599123,90.64786199,469.6024942,0.200304103,hypostomatic,5.706867416
291,7/4/2022,20,1,arme,Arbutus menziesii,E,0.766925696,3.865848833,0.198384813,1.562,0.5611,51.6329888,108.6708349,359.2189501,0.115623959,hypostomatic,5.029926889
292,7/4/2022,20,2,arme,Arbutus menziesii,E,0.760855191,4.36812486,0.17418348,1.802,0.6496,58.36943062,111.2911319,360.4883463,0.139576764,hypostomatic,5.34799224
293,7/4/2022,20,3,arme,Arbutus menziesii,E,0.724836389,4.334193773,0.167236729,2.087,0.8024,59.845,134.0797059,384.4753234,0.114585097,hypostomatic,5.415168511
294,7/4/2022,20,4,arme,Arbutus menziesii,E,0.870232026,4.046449775,0.215060627,1.267,0.4525,44.96725372,100.6287826,357.1428571,0.069000382,hypostomatic,4.694033907
295,7/4/2022,20,5,arme,Arbutus menziesii,E,1.4775757,4.068267837,0.363195286,1.728,0.6162,57.76391517,106.6755946,356.5972222,0.142431933,hypostomatic,5.320180301
296,7/4/2022,20,1,quga,Quercus garryana,D,4.269165648,19.24117953,0.221876504,3.935,1.6624,136.9679549,121.3714552,422.4650572,0.03042936,hypostomatic,8.192331652
297,7/4/2022,20,2,quga,Quercus garryana,D,7.467382256,14.63201355,0.510345499,2.473,1.0353,96.00646186,107.8364914,418.6413263,0.061403152,hypostomatic,6.858802105
298,7/4/2022,20,3,quga,Quercus garryana,D,9.517079976,16.48243557,0.577407382,2.57,1.0652,100.9338851,105.5344297,414.4747082,0.072941233,hypostomatic,7.03261002
299,7/4/2022,20,4,quga,Quercus garryana,D,5.728243833,16.80230146,0.340920192,2.365,0.9894,88.54976182,111.7337844,418.3509514,0.074828462,hypostomatic,6.58706181
300,7/4/2022,20,5,quga,Quercus garryana,D,10.82998094,16.88742898,0.641304307,2.61,1.1139,86.69048155,128.4916152,426.7816092,0.021341552,hypostomatic,6.517540637
321,7/6/2022,30,1,arme,Arbutus menziesii,E,1.201266085,2.548453099,0.471370686,1.618,0.5434,53.90973075,100.7981291,335.8467244,0.058164721,hypostomatic,5.13962723
322,7/6/2022,30,2,arme,Arbutus menziesii,E,1.334670618,2.797521711,0.477090352,1.614,0.6114,46.3568144,131.8899946,378.8104089,0.118744721,hypostomatic,4.766008713
323,7/6/2022,30,3,arme,Arbutus menziesii,E,2.092276358,2.853676951,0.733186129,2.025,0.7229,61.81359044,116.9483919,356.9876543,0.081889902,hypostomatic,5.503513361
324,7/6/2022,30,4,arme,Arbutus menziesii,E,1.789618323,2.600206867,0.688259979,1.313,0.4926,40.62860838,121.2446155,375.1713633,0.062849283,hypostomatic,4.461840215
325,7/6/2022,30,5,arme,Arbutus menziesii,E,2.51129324,3.309163293,0.758890698,1.966,0.718,59.2881488,121.1034607,365.2085453,0.060729523,hypostomatic,5.389915854
326,7/6/2022,30,1,quga,Quercus garryana,D,3.400813043,7.57649537,0.448863607,2.756,1.2097,100.2657936,120.6493218,438.9332366,0.241830519,hypostomatic,7.009296603
327,7/6/2022,30,2,quga,Quercus garryana,D,5.407868137,6.568139864,0.823348505,1.994,0.8423,83.80957329,100.5016452,422.4172518,0.097320619,hypostomatic,6.408329807
328,7/6/2022,30,3,quga,Quercus garryana,D,3.90095786,8.110962255,0.480948837,2.48,1.0809,95.42686124,113.269994,435.8467742,0.160775179,hypostomatic,6.838067125
329,7/6/2022,30,4,quga,Quercus garryana,D,3.428268345,8.120768455,0.422160583,2.205,0.958,84.57602431,113.2708717,434.4671202,0.225060621,hypostomatic,6.437565682
330,7/6/2022,30,5,quga,Quercus garryana,D,6.052661571,8.105609254,0.746725062,2.003,0.8747,77.47862029,112.8956603,436.6949576,0.129603114,hypostomatic,6.161535843
331,7/6/2022,30,1,acma,Acer macrophyllum,D,1.54032723,5.634419175,0.273378175,13.69,4.2236,508.8648917,83.00042053,308.5171658,0.100124181,hypostomatic,15.7906237
332,7/6/2022,30,2,acma,Acer macrophyllum,D,1.724320939,5.285672289,0.326225472,11.46,3.4991,477.4916043,73.28086962,305.3315881,0.240108521,hypostomatic,15.29610689
333,7/6/2022,30,3,acma,Acer macrophyllum,D,1.794944335,5.455242232,0.329031097,10.98,3.3306,528.2931584,63.04454159,303.3333333,0.068839051,hypostomatic,16.08924012
334,7/6/2022,30,4,acma,Acer macrophyllum,D,1.919271877,4.839705245,0.396567927,6.65,1.9871,360.795279,55.07555436,298.8120301,0.054941337,hypostomatic,13.29622829
335,7/6/2022,30,5,acma,Acer macrophyllum,D,1.79222235,3.967230425,0.451756555,6.42,1.9522,328.0678186,59.50598899,304.0809969,0.066867623,hypostomatic,12.67884976
336,7/7/2022,50,1,arme,Arbutus menziesii,E,0.84862945,6.71478138,0.12638229,2.125,0.7445,68.12449652,109.2852113,350.3529412,0.228066526,hypostomatic,5.777629557
337,7/7/2022,50,2,arme,Arbutus menziesii,E,1.38393096,6.856474636,0.201842934,2.061,0.7936,54.31941641,146.0987714,385.0557982,0.209432201,hypostomatic,5.159119502
338,7/7/2022,50,3,arme,Arbutus menziesii,E,3.95155187,6.177602757,0.639657813,2.682,1.0035,70.14325284,143.064366,374.1610738,0.077872215,hypostomatic,5.862609819
339,7/7/2022,50,4,arme,Arbutus menziesii,E,0.671972223,5.1302766,0.130981675,2.378,0.8977,70.18561586,127.9037006,377.5021026,0.141493983,hypostomatic,5.864379914
340,7/7/2022,50,5,arme,Arbutus menziesii,E,0.857427626,5.675175347,0.1510839,2.341,0.8576,68.63978839,124.9421101,366.3391713,0.13335903,hypostomatic,5.79943931
341,7/7/2022,50,1,quga,Quercus garryana,D,5.51960325,4.754707486,1.160871256,3.07,1.4474,111.01583,130.3778029,471.465798,0.551566172,hypostomatic,7.375483489
342,7/7/2022,50,2,quga,Quercus garryana,D,14.79510876,3.945579236,3.749793851,1.467,0.6784,61.79374753,109.78457,462.4403545,0.159718839,hypostomatic,5.502629943
343,7/7/2022,50,3,quga,Quercus garryana,D,6.988248542,3.600944785,1.94067084,1.948,0.9017,85.52966773,105.4254066,462.8850103,0.182979151,hypostomatic,6.473757579
344,7/7/2022,50,4,quga,Quercus garryana,D,5.683313679,3.876218152,1.466200677,2.519,1.1735,103.6346616,113.2343158,465.859468,0.233658037,hypostomatic,7.126077756
345,7/7/2022,50,5,quga,Quercus garryana,D,4.354339364,3.837427663,1.134702657,2.578,1.1558,109.6750434,105.3840477,448.3320403,0.49979325,hypostomatic,7.330809728
346,7/7/2022,50,1,acma,Acer macrophyllum,D,5.56674799,4.373203661,1.272922192,6.97,2.7691,355.5847162,77.87455067,397.2883788,0.082086875,hypostomatic,13.19986784
347,7/7/2022,50,2,acma,Acer macrophyllum,D,5.958495621,4.286521194,1.390053927,7.25,3.0174,420.7417637,71.71619888,416.1931034,0.088771389,hypostomatic,14.35839351
348,7/7/2022,50,3,acma,Acer macrophyllum,D,6.21113117,3.779949442,1.643178372,6.38,2.5852,373.8968345,69.14206704,405.2037618,0.088788139,hypostomatic,13.5354885
349,7/7/2022,50,4,acma,Acer macrophyllum,D,4.774603702,3.695043315,1.292164474,6.59,2.6421,425.2242171,62.13427866,400.9256449,0.222089197,hypostomatic,14.43467583
350,7/7/2022,50,5,acma,Acer macrophyllum,D,6.69928271,4.796763216,1.396625684,4.78,1.8816,210.6543924,89.32165993,393.6401674,0.0992265,hypostomatic,10.15975651
351,7/8/2022,40,1,arme,Arbutus menziesii,E,0.619178473,1.96862269,0.31452369,1.846,0.6409,57.38819263,111.6780248,347.1830986,0.043489417,hypostomatic,5.302849648
352,7/8/2022,40,2,arme,Arbutus menziesii,E,0.446025208,2.335915029,0.190942394,2.092,0.7181,59.29608191,121.1041231,343.2600382,0.029143261,hypostomatic,5.390276443
353,7/8/2022,40,3,arme,Arbutus menziesii,E,0.517802786,2.592620055,0.199721816,2.227,0.8202,62.51836789,131.1934441,368.298159,0.062132488,hypostomatic,5.534799027
354,7/8/2022,40,4,arme,Arbutus menziesii,E,0.824083254,1.996776398,0.412706828,1.257,0.4203,42.47854078,98.94407677,334.3675418,0.016656217,hypostomatic,4.562289445
355,7/8/2022,40,5,arme,Arbutus menziesii,E,0.555487852,2.600987144,0.213568088,2.091,0.7303,66.74907661,109.4097532,349.2587279,0.038328702,hypostomatic,5.719007566
356,7/8/2022,40,1,quga,Quercus garryana,D,3.872626746,6.298603004,0.614838996,2.609,1.163,97.22777174,119.6160294,445.7646608,0.164136678,hypostomatic,6.902290066
357,7/8/2022,40,2,quga,Quercus garryana,D,5.980872851,8.49183224,0.70430888,2.933,1.3264,93.75042837,141.4820202,452.2332083,0.242530697,hypostomatic,6.77773634
358,7/8/2022,40,3,quga,Quercus garryana,D,3.473149134,7.790110104,0.445840827,2.515,1.1299,83.0486337,136.0528102,449.2644135,0.154180297,hypostomatic,6.379171617
359,7/8/2022,40,4,quga,Quercus garryana,D,3.486336732,6.052998658,0.575968529,2.893,1.2903,111.716192,115.4980291,446.0076046,0.137838137,hypostomatic,7.39871165
360,7/8/2022,40,5,quga,Quercus garryana,D,2.185532492,7.31724259,0.298682525,3.09,1.3178,110.0991963,119.6920635,426.4724919,0.102843099,hypostomatic,7.34497149
